id,created_at,text,length,source,favorites,RT
986544880695562241,2018-04-18 10:00:03,"b""766 minutes\n538 balls\n45 fours\n375 runs!\n\n#OnThisDay in 1994, @BrianLara broke Sir Garfield Sobers' record for the\xe2\x80\xa6 https://t.co/P5hZkgH4Z8""",139,TweetDeck,1758,218
986530866372530176,2018-04-18 09:04:22,"b'Cricket Australia have dismissed speculation that they have hired Justin Langer as their new head coach, re-affirmi\xe2\x80\xa6 https://t.co/PMngSYyW8T'",140,TweetDeck,544,41
986520097668902912,2018-04-18 08:21:34,b'RCB coach Trent Woodhill has hailed @ABdeVilliers17 and @imVkohli as the @rogerfederer and @RafaelNadal of cricket.\xe2\x80\xa6 https://t.co/5p1aR8ZPKA',140,TweetDeck,4124,398
986481947458330624,2018-04-18 05:49:58,"b'Eoin Morgan keen to return to red-ball cricket. ""It helps my technique. The most vulnerable part of your batting is\xe2\x80\xa6 https://t.co/gdlqceU0oc'",140,TweetDeck,796,45
986469371647148032,2018-04-18 05:00:00,"b'#OnThisDay in 1992, South Africa began their first Test in 22 years against West Indies in Barbados. \n\nThe hosts wo\xe2\x80\xa6 https://t.co/nMhFFw8udB'",140,TweetDeck,690,54
986467300701327360,2018-04-18 04:51:46,b'ICYMI!\n\nWindies announced their squad for their T20I charity match against an ICC World XI at the @HomeOfCricket on\xe2\x80\xa6 https://t.co/GlANYjrPk8',140,TweetDeck,485,30
986439171559567363,2018-04-18 03:00:00,"b""He's one of three Indians to have scored a century in all three international formats, and was the first Indian to\xe2\x80\xa6 https://t.co/UZ2KVnQNsg""",139,TweetDeck,9334,643
986426050195443713,2018-04-18 02:07:51,"b""ICYMI!\n\nNic Pothas has stepped down as Sri Lanka's fielding consultant after almost two years in the role, which in\xe2\x80\xa6 https://t.co/Hl1qr6u34A""",140,TweetDeck,350,20
986408983006150662,2018-04-18 01:00:02,"b'#OnThisDay in 2017, @henrygayle became the first player to reach 10,000 runs in Twenty20 matches!\n\n7472 of those ca\xe2\x80\xa6 https://t.co/085QNJj18e'",140,TweetDeck,2180,168
986379026569674752,2018-04-17 23:01:00,b'She has 76 international wickets for New Zealand - happy birthday to leg-spinner Erin Bermingham! https://t.co/f7ls6Gz86F',121,TweetDeck,459,16
986354790107099136,2018-04-17 21:24:42,"b'Ghana claimed pole position at the #WT20 2020 Africa Qualifier A on Tuesday, beating hosts Nigeria with a ball spar\xe2\x80\xa6 https://t.co/YekYDe3HNp'",140,TweetDeck,274,20
986318380901650437,2018-04-17 19:00:01,"b""West Indies' big guns are getting ready to face a star-studded ICC World XI next month in a T20I in aid of hurrican\xe2\x80\xa6 https://t.co/YRbMflDEr0""",140,Media Studio,498,37
986288177089400834,2018-04-17 17:00:00,b'Earlier @westindies announced their squad for their match against an ICC World XI at the @HomeOfCricket in aid of c\xe2\x80\xa6 https://t.co/OJVvsDEtSw',140,TweetDeck,410,31
986268547385929728,2018-04-17 15:42:00,"b'On his birthday, watch the moment Muttiah Muralitharan\xe2\x80\x8b became the first Sri Lanka\xe2\x80\x8b player to be inducted in the IC\xe2\x80\xa6 https://t.co/YIdTaskGVj'",140,Media Studio,2335,196
986250428009603072,2018-04-17 14:30:00,"b""Nic Pothas has stepped down from his role as Sri Lanka's fielding consultant, after almost two years in the role wh\xe2\x80\xa6 https://t.co/Z0GpXr4WVY""",140,TweetDeck,420,22
986237845303169024,2018-04-17 13:40:00,"b'""We\xe2\x80\x99ve slacked off in the past two years but knowing how close we were gives you that desire to get back there.\xe2\x80\x9d\xe2\x80\xa6 https://t.co/TqP1TKXarl'",137,TweetDeck,300,17
986227794467278848,2018-04-17 13:00:04,b'#ShotOfTheDay https://t.co/qhU4e1sg5D',37,TweetDeck,4300,392
986208905402486785,2018-04-17 11:45:00,"b'The PCB are planning a refurbishment of the Pindi Cricket Stadium, with approx $8.6m USD to be spent to prepare it\xe2\x80\xa6 https://t.co/AdiQvuRLkP'",139,TweetDeck,1607,263
986196135512543233,2018-04-17 10:54:16,"b""Jonty Rhodes called him the 'father of fielding' - Colin Bland, who played 21 Tests for South Africa between 1961 a\xe2\x80\xa6 https://t.co/IoJKUQ4SPK""",140,TweetDeck,569,53
986183256449142784,2018-04-17 10:03:05,b'West Indies have announced their squad for their T20I charity match against an ICC World XI at the @HomeOfCricket o\xe2\x80\xa6 https://t.co/funJf51gtC',140,TweetDeck,1143,86
986176267920855041,2018-04-17 09:35:19,b'RT @Gibraltar_Crick: What a glorious day of Cricket down at the Victoria Stadium for our Inter School Festival! No better backdrop that the\xe2\x80\xa6',140,Twitter for Android,0,28
986162466504757249,2018-04-17 08:40:28,"b'Suzie Bates thrilled to be compared to Debbie Hockley, as the White Ferns captain approaches her record for the mos\xe2\x80\xa6 https://t.co/rZ97mooeDd'",140,TweetDeck,454,22
986133945266982912,2018-04-17 06:47:08,"b""#OnTheUp: There was #IPL2018 excitement, #CountyCricket enticement and a lot of non-cricketing enjoyment!\n\nHere's w\xe2\x80\xa6 https://t.co/ZJFm2U3ZGL""",140,Twitter Web Client,585,15
986125553181671425,2018-04-17 06:13:47,"b'\xe2\x80\x9cI went up to Faf and said, \xe2\x80\x98Listen, is this international Test match cricket?\xe2\x80\x99"" \n\nFor @AidzMarkram, the #SAvAUS se\xe2\x80\xa6 https://t.co/K5zvAwAp4y'",140,Twitter Web Client,748,36
986076783870128130,2018-04-17 03:00:00,b'800 Test wickets. \n534 ODI wickets.\nThe most prolific bowler in international cricket history.\n\nHappy birthday to S\xe2\x80\xa6 https://t.co/5oWzS4Slwd',140,TweetDeck,7788,786
986046592833736705,2018-04-17 01:00:02,"b""ICYMI, @mandhana_smriti is up to a career high fourth in the @MRFWorldwide ICC Women's ODI Batting Rankings!\n\nRead\xe2\x80\xa6 https://t.co/zL7R4vopgu""",139,TweetDeck,712,44
986016638138048512,2018-04-16 23:01:00,"b'In 87 ODIs he scored 2,717 runs for New Zealand, and for a period in 2000/01 was the third-ranked batsman in the\xe2\x80\xa6 https://t.co/KY9LffGvX5'",137,TweetDeck,672,32
985986190695370752,2018-04-16 21:00:01,"b""Hey @usacricket fans! Did you know you can become a USA Cricket Member? Best thing is, it's absolutely FREE! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n\nJo\xe2\x80\xa6 https://t.co/LCmtRlPGZe""",140,Media Studio,236,22
985956002817282048,2018-04-16 19:00:03,"b'#OnThisDay in 1878, Tip Foster was born. The only man to captain England in both cricket and football, he holds the\xe2\x80\xa6 https://t.co/2nMjiVKGTi'",140,TweetDeck,819,92
985925790003900418,2018-04-16 17:00:00,"b'With major international cricket on a break, take a look at which global stars have been lighting up the first week\xe2\x80\xa6 https://t.co/F00XkoQbyv'",140,TweetDeck,1775,90
985903148903514113,2018-04-16 15:30:02,b'Nigeria and Ghana each made it two wins from two yesterday at the #WT20 2020 Africa Qualifier A with victories agai\xe2\x80\xa6 https://t.co/YoMYEy32Ui',140,TweetDeck,437,33
985877974003191809,2018-04-16 13:50:00,"b""\xf0\x9f\x91\x9f @DJBravo47 - champion dancer, top all-rounder... @henrygayle's personal shoe fitter!  #ShotOfTheDay https://t.co/RRBjbhx5EG""",125,TweetDeck,5885,321
985863220782161922,2018-04-16 12:51:22,b'What do you make of the Pakistan Test squad to face Ireland and England next month?\n\nhttps://t.co/jUkkkh8n0q https://t.co/KN9NnLB7xW',132,TweetDeck,981,73
985838966892122113,2018-04-16 11:15:00,"b'Remember when @ShaneWarne bungled a catch of Javagal Srinath in 1999, denying @bowlologist a second Test hat-trick?\xe2\x80\xa6 https://t.co/eeaR6LnxrP'",140,Media Studio,487,27
985818834572664832,2018-04-16 09:55:00,"b""The magic of Mujeeb! \n\nAfghanistan's mystery spinner is just 17 years old, but already has some of the biggest name\xe2\x80\xa6 https://t.co/DnXhowQJbA""",140,TweetDeck,1457,87
985802555111477248,2018-04-16 08:50:19,"b'""England are an explosive T20 side""\n\n@imVkohli talks about the influx of Englishmen into the IPL, hailing them as s\xe2\x80\xa6 https://t.co/bibAPIFLDq'",140,TweetDeck,3052,156
985776926043398144,2018-04-16 07:08:28,"b""Williamson and Dhawan fill in for Warner, Russell's 11 sixes, and a few broken records.\n\nHere\xe2\x80\x99s a ready reckoner fo\xe2\x80\xa6 https://t.co/Gb1gLkOsLQ""",140,TweetDeck,988,66
985763106960957440,2018-04-16 06:13:33,"b""In Lord's in 1966, David Holford saved the Test by adding 274 for the sixth wicket with his cousin Garry Sobers. Th\xe2\x80\xa6 https://t.co/KkIehUS0be""",140,TweetDeck,768,50
985735829480976390,2018-04-16 04:25:10,"b'Gayle and Dhoni are turning back the clock!\n\nBetween them, they scored 142 runs off just 77 balls on Sunday! \n\nWhic\xe2\x80\xa6 https://t.co/O8s7Hsp2sH'",140,TweetDeck,4041,227
985707327163596800,2018-04-16 02:31:55,"b""ICYMI! \n\nIn the latest @MRFWorldwide Women's ODI Rankings, India's @mandhana_smriti has stormed into the top five b\xe2\x80\xa6 https://t.co/FUYCUM9ZE3""",140,TweetDeck,2690,169
985664462056316931,2018-04-15 23:41:35,"b'ICYMI! \n\nWith several places in Australia\xe2\x80\x99s Test batting line-up seemingly up for grabs, Aaron Finch demonstrates w\xe2\x80\xa6 https://t.co/2TtC1Brx5c'",140,TweetDeck,722,26
985556310690291712,2018-04-15 16:31:49,"b'Catch up on the action from Day 1 of the ICC World T20 Africa Qualifier A, as Nigeria and Ghana enjoyed strong star\xe2\x80\xa6 https://t.co/CjWMJLY9Tb'",140,TweetDeck,418,21
985555854358392832,2018-04-15 16:30:01,"b""ICYMI: Pakistan have selected five uncapped players for next month's Test tour of Ireland and England \n\nREAD \xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/qWguvlGuEL""",136,TweetDeck,1896,119
